Address,Date,Guest_review,Hotel_name,Max_price,Price,Star_rating
"70 Sleeper Street,Boston,MA",30Nov,4.4,"The Envoy Hotel, Autograph Collection","Rs30,493","Rs17,880",4 stars
"70 Sleeper Street,Boston,MA",01-Dec,4.4,"The Envoy Hotel, Autograph Collection","Rs30,493","Rs12,939",4 stars
"70 Sleeper Street,Boston,MA",2Dec,4.4,"The Envoy Hotel, Autograph Collection","Rs30,493","Rs17,100",4 stars
"70 Sleeper Street,Boston,MA",3Dec,4.4,"The Envoy Hotel, Autograph Collection","Rs30,493","Rs12,419",4 stars
"70 Sleeper Street,Boston,MA",4Dec,4.4,"The Envoy Hotel, Autograph Collection","Rs30,493","Rs17,880",4 stars
"70 Sleeper Street,Boston,MA",5Dec,4.4,"The Envoy Hotel, Autograph Collection","Rs30,493","Rs25,682",4 stars
"70 Sleeper Street,Boston,MA",6Dec,4.4,"The Envoy Hotel, Autograph Collection","Rs30,493","Rs26,852",4 stars
"70 Sleeper Street,Boston,MA",7Dec,4.4,"The Envoy Hotel, Autograph Collection","Rs30,493","Rs15,474",4 stars
"70 Sleeper Street,Boston,MA",8Dec,4.4,"The Envoy Hotel, Autograph Collection","Rs30,493","Rs15,474",4 stars
"100 Stuart Street,Boston,MA",29Nov,4.3,W Boston,"Rs28,516","Rs28,513",4 stars
"100 Stuart Street,Boston,MA",30Nov,4.3,W Boston,"Rs15,529","Rs15,527",4 stars
"100 Stuart Street,Boston,MA",01-Dec,4.3,W Boston,"Rs13,595","Rs13,593",4 stars
"100 Stuart Street,Boston,MA",2Dec,4.3,W Boston,"Rs14,258","Rs14,256",4 stars
"100 Stuart Street,Boston,MA",3Dec,4.3,W Boston,"Rs10,997","Rs10,996",4 stars
"100 Stuart Street,Boston,MA",4Dec,4.3,W Boston,"Rs18,789","Rs18,787",4 stars
"100 Stuart Street,Boston,MA",5Dec,4.3,W Boston,"Rs37,644","Rs37,644",4 stars
"100 Stuart Street,Boston,MA",6Dec,4.3,W Boston,"Rs34,393","Rs34,393",4 stars
"100 Stuart Street,Boston,MA",7Dec,4.3,W Boston,"Rs14,866","Rs14,864",4 stars
"100 Stuart Street,Boston,MA",8Dec,4.3,W Boston,"Rs14,866","Rs14,864",4 stars
"39 Dalton St,Boston,MA",29Nov,4.2,Sheraton Boston Hotel,"Rs25,307","Rs25,305",4 stars
"39 Dalton St,Boston,MA",30Nov,4.2,Sheraton Boston Hotel,"Rs14,872","Rs14,871",4 stars
"39 Dalton St,Boston,MA",01-Dec,4.2,Sheraton Boston Hotel,"Rs11,654","Rs11,653",4 stars
"39 Dalton St,Boston,MA",2Dec,4.2,Sheraton Boston Hotel,"Rs10,679","Rs10,678",4 stars
"39 Dalton St,Boston,MA",3Dec,4.2,Sheraton Boston Hotel,"Rs9,021","Rs9,020",4 stars
"39 Dalton St,Boston,MA",4Dec,4.2,Sheraton Boston Hotel,"Rs12,922","Rs12,920",4 stars
"39 Dalton St,Boston,MA",5Dec,4.2,Sheraton Boston Hotel,"Rs20,090","Rs20,088",4 stars
"39 Dalton St,Boston,MA",6Dec,4.2,Sheraton Boston Hotel,"Rs30,476","Rs30,473",4 stars
"39 Dalton St,Boston,MA",7Dec,4.2,Sheraton Boston Hotel,"Rs25,941","Rs25,938",4 stars
"39 Dalton St,Boston,MA",8Dec,4.2,Sheraton Boston Hotel,"Rs25,941","Rs25,938",4 stars
"50 Park Plaza at Arlington Street,Boston,MA",29Nov,4.1,Boston Park Plaza,"Rs12,938","Rs11,644",4 stars
"50 Park Plaza at Arlington Street,Boston,MA",30Nov,4.1,Boston Park Plaza,"Rs12,288","Rs11,059",4 stars
"50 Park Plaza at Arlington Street,Boston,MA",01-Dec,4.1,Boston Park Plaza,"Rs11,638","Rs9,892",4 stars
"50 Park Plaza at Arlington Street,Boston,MA",2Dec,4.1,Boston Park Plaza,"Rs11,638","Rs9,892",4 stars
"50 Park Plaza at Arlington Street,Boston,MA",3Dec,4.1,Boston Park Plaza,"Rs7,737","Rs6,963",4 stars
"50 Park Plaza at Arlington Street,Boston,MA",4Dec,4.1,Boston Park Plaza,"Rs9,687","Rs8,719",4 stars
"50 Park Plaza at Arlington Street,Boston,MA",5Dec,4.1,Boston Park Plaza,"Rs9,687","Rs8,719",4 stars
"50 Park Plaza at Arlington Street,Boston,MA",6Dec,4.1,Boston Park Plaza,"Rs9,687","Rs8,719",4 stars
"50 Park Plaza at Arlington Street,Boston,MA",7Dec,4.1,Boston Park Plaza,"Rs9,687","Rs8,719",4 stars
"50 Park Plaza at Arlington Street,Boston,MA",8Dec,4.1,Boston Park Plaza,"Rs9,687","Rs8,719",4 stars
"32 Garrison Street,Boston,MA",29Nov,3.9,Global Luxury Suites at Back Bay,"Rs13,221","Rs11,862",4 stars
"32 Garrison Street,Boston,MA",30Nov,3.9,Global Luxury Suites at Back Bay,"Rs13,221","Rs11,862",4 stars
"32 Garrison Street,Boston,MA",01-Dec,3.9,Global Luxury Suites at Back Bay,"Rs10,691","Rs9,592",4 stars
"32 Garrison Street,Boston,MA",2Dec,3.9,Global Luxury Suites at Back Bay,"Rs13,588","Rs12,229",4 stars
"32 Garrison Street,Boston,MA",3Dec,3.9,Global Luxury Suites at Back Bay,"Rs13,221","Rs11,862",4 stars
"32 Garrison Street,Boston,MA",4Dec,3.9,Global Luxury Suites at Back Bay,"Rs13,221","Rs11,862",4 stars
"32 Garrison Street,Boston,MA",5Dec,3.9,Global Luxury Suites at Back Bay,"Rs15,119","Rs13,565",4 stars
"32 Garrison Street,Boston,MA",6Dec,3.9,Global Luxury Suites at Back Bay,"Rs15,119","Rs13,565",4 stars
"32 Garrison Street,Boston,MA",7Dec,3.9,Global Luxury Suites at Back Bay,"Rs17,017","Rs15,268",4 stars
"32 Garrison Street,Boston,MA",8Dec,3.9,Global Luxury Suites at Back Bay,"Rs17,017","Rs15,268",4 stars
"161 Devonshire St,Boston,MA",29Nov,4.1,Club Quarters Hotel in Boston,"Rs15,155","Rs15,155",4 stars
"161 Devonshire St,Boston,MA",30Nov,4.1,Club Quarters Hotel in Boston,"Rs12,229","Rs12,229",4 stars
"161 Devonshire St,Boston,MA",01-Dec,4.1,Club Quarters Hotel in Boston,"Rs8,719","Rs8,719",4 stars
"161 Devonshire St,Boston,MA",2Dec,4.1,Club Quarters Hotel in Boston,"Rs10,474","Rs10,474",4 stars
"161 Devonshire St,Boston,MA",3Dec,4.1,Club Quarters Hotel in Boston,"Rs7,548","Rs7,548",4 stars
"161 Devonshire St,Boston,MA",4Dec,4.1,Club Quarters Hotel in Boston,"Rs11,644","Rs11,644",4 stars
"161 Devonshire St,Boston,MA",5Dec,4.1,Club Quarters Hotel in Boston,"Rs12,814","Rs12,814",4 stars
"161 Devonshire St,Boston,MA",6Dec,4.1,Club Quarters Hotel in Boston,"Rs13,985","Rs13,985",4 stars
"161 Devonshire St,Boston,MA",7Dec,4.1,Club Quarters Hotel in Boston,"Rs11,059","Rs11,059",4 stars
"161 Devonshire St,Boston,MA",8Dec,4.1,Club Quarters Hotel in Boston,"Rs11,059","Rs11,059",4 stars
"One Avenue De Lafayette,Boston,MA",29Nov,4.4,Hyatt Regency Boston,"Rs38,294","Rs38,294",4 stars
"One Avenue De Lafayette,Boston,MA",30Nov,4.4,Hyatt Regency Boston,"Rs37,644","Rs14,238",4 stars
"One Avenue De Lafayette,Boston,MA",01-Dec,4.4,Hyatt Regency Boston,"Rs37,644","Rs12,938",4 stars
"One Avenue De Lafayette,Boston,MA",2Dec,4.4,Hyatt Regency Boston,"Rs37,644","Rs21,390",4 stars
"One Avenue De Lafayette,Boston,MA",3Dec,4.4,Hyatt Regency Boston,"Rs37,644","Rs10,988",4 stars
"One Avenue De Lafayette,Boston,MA",4Dec,4.4,Hyatt Regency Boston,"Rs37,644","Rs22,690",4 stars
"One Avenue De Lafayette,Boston,MA",5Dec,4.4,Hyatt Regency Boston,"Rs37,644","Rs29,842",4 stars
"One Avenue De Lafayette,Boston,MA",6Dec,4.4,Hyatt Regency Boston,"Rs37,644","Rs16,189",4 stars
"One Avenue De Lafayette,Boston,MA",7Dec,4.4,Hyatt Regency Boston,"Rs37,644","Rs12,938",4 stars
"One Avenue De Lafayette,Boston,MA",8Dec,4.4,Hyatt Regency Boston,"Rs37,644","Rs12,938",4 stars
"180 Brookline Avenue,Boston,MA",29Nov,3.9,Global Luxury Suites at Fenway Park South,"Rs10,058","Rs9,025",4 stars
"180 Brookline Avenue,Boston,MA",30Nov,3.9,Global Luxury Suites at Fenway Park South,"Rs10,058","Rs9,025",4 stars
"180 Brookline Avenue,Boston,MA",01-Dec,3.9,Global Luxury Suites at Fenway Park South,"Rs12,589","Rs11,295",4 stars
"180 Brookline Avenue,Boston,MA",2Dec,3.9,Global Luxury Suites at Fenway Park South,"Rs9,687","Rs8,719",4 stars
"180 Brookline Avenue,Boston,MA",3Dec,3.9,Global Luxury Suites at Fenway Park South,"Rs9,426","Rs8,457",4 stars
"180 Brookline Avenue,Boston,MA",4Dec,3.9,Global Luxury Suites at Fenway Park South,"Rs9,426","Rs8,457",4 stars
"180 Brookline Avenue,Boston,MA",5Dec,3.9,Global Luxury Suites at Fenway Park South,"Rs11,323","Rs10,160",4 stars
"180 Brookline Avenue,Boston,MA",6Dec,3.9,Global Luxury Suites at Fenway Park South,"Rs11,323","Rs10,160",4 stars
