Address,Date,Guest_review,Hotel_name,Max_price,Price,Star_rating
"350 Third Street,Boston,MA",01-Dec,3.8,Global Luxury Suites at Kendall West,"Rs9,426","Rs8,457",4 stars
"110 Huntington Ave,Boston,MA",01-Dec,4.3,Boston Marriott Copley Place,"Rs25,942","Rs13,393",4 stars
"10 Huntington Ave,Boston,MA",01-Dec,4.4,"The Westin Copley Place, Boston","Rs42,195","Rs12,938",4 stars
"505 Washington Street,Boston,MA",01-Dec,4.6,The Godfrey Hotel Boston,"Rs14,570","Rs14,568",4 stars
"25 Edwin H. Land Blvd,Boston,MA",01-Dec,4.6,Kimpton Marlowe Hotel,"Rs10,350","Rs10,349",4 stars
"2027 Massachusetts Ave,Boston,MA",01-Dec,4.8,"The Inn at Hastings Park, Relais & Ch̢teaux","Rs17,396","Rs15,608",4 stars
"20 Sidney Street,Boston,MA",01-Dec,4.3,Le Meridien Cambridge-MIT,"Rs9,118","Rs9,118",4 stars
"85 Seaport Boulevard,Boston,MA",01-Dec,4.2,Apartments in Watermark Seaport by LYX,"Rs15,072","Rs15,072",3.5 stars
"15 Middlesex Canal Park,Boston,MA",01-Dec,4.3,Crowne Plaza Boston - Woburn,"Rs10,597","Rs6,436",3.5 stars
"550 Winter Street,Boston,MA",01-Dec,4.6,Embassy Suites Boston Waltham,"Rs12,767","Rs7,087",3.5 stars
"21 Monument Street,Boston,MA",01-Dec,4.8,North Bridge Inn,"Rs12,613","Rs12,613",3.5 stars
"5 Blossom Street,Boston,MA",01-Dec,3.9,Wyndham Boston Beacon Hill,"Rs18,789","Rs10,337",3.5 stars
"399 Grove St,Boston,MA",01-Dec,4.1,Hotel Indigo Boston - Newton Riverside,"Rs12,288","Rs6,436",3.5 stars
"207 Porter St,Boston,MA",01-Dec,4.2,Embassy Suites Boston Logan Airport,"Rs12,938","Rs9,687",3.5 stars
"58 Washington St,Boston,MA",01-Dec,4.6,Harbor Light Inn,"Rs14,888","Rs14,888",3.5 stars
"821 Washington Street,Boston,MA",01-Dec,4.2,DoubleTree by Hilton Boston - Downtown,"Rs19,439","Rs10,337",3.5 stars
"19 Banks Street St,Boston,MA",01-Dec,2.9,The Cambridge Karma House,"Rs12,383","Rs12,383",3.5 stars
"400 Soldiers Field Road,Boston,MA",01-Dec,4.4,DoubleTree Suites by Hilton Hotel Boston - Cambridge,"Rs19,439","Rs10,337",3.5 stars
"7 Summer St,Boston,MA",01-Dec,4.1,The Salem Inn,"Rs10,467","Rs10,467",3.5 stars
"2 Forbes Rd,Boston,MA",01-Dec,4.1,Hilton Boston/Woburn,"Rs10,679","Rs6,378",3.5 stars
"342 Longwood Ave,Boston,MA",01-Dec,3.9,The Inn at Longwood Medical,"Rs13,588","Rs13,588",3.5 stars
"225 Derby St,Boston,MA",01-Dec,4.3,Salem Waterfront Hotel & Suites,"Rs11,289","Rs11,289",3.5 stars
"10 Acorn Park Drive,Boston,MA",01-Dec,4.5,AC Hotel by Marriott Boston Cambridge,"Rs17,490","Rs7,087",3.5 stars
"100 Cabot St,Boston,MA",01-Dec,4,Sheraton Needham Hotel,"Rs14,238","Rs6,024",3.5 stars
"65 Seaport Blvd,Boston,MA",01-Dec,4.2,YOTEL Boston,"Rs8,387","Rs8,387",3.5 stars
"238 Andover St,Boston,MA",01-Dec,4.3,TownePlace Suites by Marriott Boston North Shore/Danvers,"Rs7,087","Rs6,437",3.5 stars
"18 Washington Square W,Boston,MA",01-Dec,4.4,Hawthorne Hotel,"Rs10,375","Rs9,308",3.5 stars
"25 Allied Drive,Boston,MA",01-Dec,4,Hilton Boston/Dedham,"Rs11,638","Rs9,106",3.5 stars
"50 Forbes Road,Boston,MA",01-Dec,4.2,Hyatt Place Boston/Braintree,"Rs7,230","Rs6,507",3.5 stars
"50 Ferncroft Rd,Boston,MA",01-Dec,3.7,DoubleTree by Hilton Boston North Shore,"Rs10,988","Rs9,687",3.5 stars
"1 Audubon Road,Boston,MA",01-Dec,3.9,Four Points by Sheraton Wakefield Boston Htl&Conference Cntr,"Rs8,777","Rs7,087",3.5 stars
"95 Station Landing,Boston,MA",01-Dec,4.7,AC Hotel by Marriott Boston North,"Rs17,490","Rs8,062",3.5 stars
"1125 Boston Providence Turnpike,Boston,MA",01-Dec,4.4,Four Points By Sheraton Norwood,"Rs10,988","Rs8,234",3.5 stars
"777 Memorial Dr,Boston,MA",01-Dec,4,Courtyard by Marriott Boston-Cambridge,"Rs18,140","Rs9,038",3.5 stars
"264 Pleasant Street,Boston,MA",01-Dec,4.8,The Marblehead Inn,"Rs15,929","Rs13,978",3.5 stars
"1271 Boylston St,Boston,MA",01-Dec,4.5,The Verb Hotel,"Rs11,313","Rs11,313",3.5 stars
"8A Centennial Drive,Boston,MA",01-Dec,4.2,Boston Marriott Peabody,"Rs10,338","Rs7,737",3.5 stars
"660 Washington St.,Boston,MA",01-Dec,3.8,Global Luxury Suites at China Town,"Rs13,285","Rs11,919",3.5 stars
"One Burlington Mall Road,Boston,MA",01-Dec,4.4,Boston Marriott Burlington,"Rs15,994","Rs6,957",3.5 stars
"241 Hanover Street,Boston,MA",01-Dec,4.3,Bricco Suites,"Rs16,494","Rs13,588",3.5 stars
